Rank,Team,strength,Hi,Low,Last
148,Fordham (15-15),-0.5,139,348,148
149,San Jose St (8-22),-0.5,110,349,149
150,E Tenn St (15-17),-0.5,26,163,150
151,Illinois St (13-20),-0.6,151,306,151
152,Indiana St (11-20),-0.6,89,232,153
153,Drexel (15-14),-0.6,134,350,154
154,Northeastrn (9-22),-0.6,17,159,155
155,Yale (17-11),-0.7,63,301,157
156,Marshall (12-20),-0.7,102,314,156
157,Air Force (11-17),-0.8,113,338,158
158,Utah Val St (20-11),-0.8,44,265,152
159,Lg Beach St (18-11),-0.9,95,304,160
160,Elon (10-22),-0.9,21,301,159
161,App State (19-14),-0.9,83,216,161
162,Dartmouth (9-16),-1,55,274,167
163,TX-Arlington (11-18),-1,7,226,162
164,Kent State (21-9),-1,10,208,163
165,TX El Paso (18-12),-1,164,341,164
166,Mercer (16-17),-1.1,8,223,165
167,Ohio (23-8),-1.1,25,167,166
168,St Peters (16-11),-1.1,7,229,168
169,Delaware (22-12),-1.2,53,257,169
170,Vermont (26-5),-1.2,22,170,170
171,NC-Grnsboro (17-14),-1.3,130,289,171
172,Portland (18-14),-1.3,47,335,172
173,James Mad (15-14),-1.3,139,329,173
174,Evansville (6-24),-1.4,44,266,174
175,Brown (13-16),-1.4,144,340,176
176,Morehead St (23-11),-1.5,5,223,175
177,Oakland (20-12),-1.5,2,238,177
178,Fla Atlantic (18-13),-1.6,133,337,178
179,Georgia St (18-10),-1.6,91,295,179
180,Sam Hous St (18-13),-1.6,108,330,180
181,Grd Canyon (22-7),-1.6,138,325,181
182,VA Military (16-15),-1.8,177,353,182
183,Ste F Austin (22-8),-1.9,156,348,183
184,UC Riverside (16-11),-2,16,199,184
185,LA Lafayette (16-15),-2,158,345,185
186,Niagara (14-15),-2,1,244,186
187,Detroit (14-15),-2,4,230,187
188,Central Mich (7-22),-2.1,54,269,189
189,Pacific (8-22),-2.1,124,344,190
190,Canisius (11-21),-2.1,28,260,188
191,N Florida (11-20),-2.1,12,293,191
192,Princeton (22-5),-2.1,85,304,193
193,Bellarmine (20-13),-2.2,1,226,192
194,N Illinois (9-21),-2.2,33,335,194
195,Siena (15-13),-2.2,11,258,195
196,W Carolina (11-21),-2.3,110,320,196
197,Colgate (22-11),-2.3,41,197,197
198,Rice (15-15),-2.4,79,272,198
199,Samford (21-11),-2.4,199,357,199
200,NC-Wilmgton (23-9),-2.5,133,340,202
201,Cornell (15-10),-2.5,177,289,200
202,S Alabama (19-11),-2.5,45,339,201
203,Oral Roberts (19-12),-2.6,35,332,204
204,Tarleton State (14-17),-2.7,13,220,205
205,Liberty (22-11),-2.7,62,349,206
206,S Utah (20-10),-2.7,122,306,207
207,CS Fullerton (18-10),-2.7,95,247,209
208,Marist (14-16),-2.7,143,265,203
209,Coastal Car (16-13),-2.7,159,358,208
210,N Dakota St (23-10),-2.7,122,307,222
211,Texas State (21-7),-2.7,78,275,210
212,Akron (21-9),-2.8,9,247,212
213,N Colorado (18-14),-2.8,116,260,211
214,Jksnville St (21-10),-2.8,30,214,213
215,GA Southern (13-16),-2.9,175,310,214
216,Weber State (20-11),-2.9,111,348,215
217,Hawaii (16-10),-3,148,335,217
218,Troy (20-11),-3,198,355,216
219,Fairfield (15-17),-3,23,252,218
220,Wright State (21-13),-3,70,298,224
221,Wm & Mary (5-27),-3.1,82,317,221
222,Winthrop (23-9),-3.1,96,331,220
223,Rider (13-18),-3.1,102,318,219
224,Abl Christian (20-9),-3.1,20,244,223
225,Navy (21-10),-3.2,7,228,226
226,UCSB (16-10),-3.2,52,346,228
227,E Michigan (10-21),-3.2,32,323,227
228,E Washingtn (17-14),-3.2,41,245,229
229,Kennesaw St (13-18),-3.3,56,294,231
230,S Mississippi (7-25),-3.3,194,327,225
231,Arkansas St (18-11),-3.3,177,350,233
232,Seattle (23-8),-3.3,128,337,234
233,Citadel (13-18),-3.3,100,345,232
234,Montana St (24-7),-3.4,36,268,236
235,CS Bakersfld (8-18),-3.4,1,331,230
236,Manhattan (15-15),-3.4,233,352,235
237,Cal Poly (7-21),-3.5,230,349,237
238,Ball State (14-16),-3.5,131,265,238
239,Miami (OH) (14-17),-3.5,46,293,239
240,Quinnipiac (13-16),-3.5,19,342,243
241,Albany (13-18),-3.6,117,242,241
242,Florida Intl (15-17),-3.6,94,335,240
243,Bowling Grn (13-18),-3.7,132,301,242
244,Stony Brook (18-13),-3.7,4,245,245
245,AR Lit Rock (9-19),-3.7,156,344,244
246,Wagner (21-6),-3.8,31,258,250
247,Harvard (13-13),-3.8,176,335,247
248,TN Tech (11-21),-3.8,2,299,246
249,N Kentucky (20-12),-3.8,162,336,252
250,Central Ark (11-20),-3.9,16,330,249
251,Fla Gulf Cst (21-11),-3.9,66,340,248
252,LA Monroe (13-18),-3.9,1,295,251
253,South Dakota (19-12),-3.9,106,312,253
254,Jacksonville (21-10),-3.9,231,354,260
255,Cleveland St (20-10),-4,18,285,255
256,Cal St Nrdge (7-23),-4.1,4,317,254
257,TX Southern (15-12),-4.1,4,258,256
258,Hartford (12-19),-4.1,107,258,258
259,Maryland BC (17-13),-4.1,65,291,259
260,LIU (16-14),-4.1,21,269,257
261,Gard-Webb (18-13),-4.1,14,275,261
262,UC San Diego (13-16),-4.1,105,322,262
263,Chicago St (7-25),-4.1,263,357,268
264,TX-Pan Am (8-23),-4.1,235,353,269
265,Bryant (22-9),-4.2,98,313,273
266,Lipscomb (14-19),-4.2,224,323,264
267,Coppin State (7-22),-4.2,43,318,263
268,IL-Chicago (14-16),-4.2,67,275,265
269,UMKC (19-12),-4.2,21,312,266
270,Portland St (12-16),-4.2,56,305,267
271,Austin Peay (12-17),-4.3,169,318,270
272,Rob Morris (8-24),-4.3,7,297,271
273,Boston U (21-12),-4.4,73,281,272
274,Mt St Marys (14-16),-4.5,4,288,276
275,W Michigan (8-23),-4.5,6,355,274
276,Dixie State (13-18),-4.5,22,343,275
277,W Illinois (16-15),-4.5,77,336,277
278,SE Missouri (14-18),-4.6,74,349,279
279,Radford (11-18),-4.6,110,315,280
280,Bucknell (9-23),-4.6,27,290,281
281,Prairie View (8-18),-4.6,2,292,282
282,Alcorn State (15-15),-4.6,28,332,283
283,Mass Lowell (15-16),-4.6,133,350,285
284,UC Davis (13-10),-4.7,65,317,278
285,Montana (18-13),-4.8,149,334,286
286,Cal Baptist (18-14),-4.8,191,357,284
287,Idaho State (7-22),-4.9,225,336,287
288,Idaho (9-21),-4.9,161,345,289
289,IPFW (21-11),-4.9,204,356,288
290,N Hampshire (15-13),-4.9,111,350,293
291,Presbyterian (12-20),-4.9,70,327,290
292,High Point (14-18),-4.9,213,356,291
293,Southern (17-13),-4.9,25,294,292
294,American (10-22),-5,177,308,294
295,WI-Grn Bay (5-25),-5,101,325,295
296,Jackson St (11-18),-5,6,296,296
297,E Kentucky (13-18),-5.1,183,344,298
298,Stetson (11-19),-5.1,221,319,297
299,Binghamton (12-16),-5.1,203,335,300
300,Merrimack (14-16),-5.1,177,334,301
301,F Dickinson (4-22),-5.1,1,321,302
302,Neb Omaha (5-25),-5.2,285,347,303
303,Sac State (10-17),-5.2,272,349,304
304,Central Conn (8-24),-5.2,39,344,306
305,NC A&T (12-20),-5.2,89,308,305
306,TX-San Ant (10-22),-5.3,203,357,299
307,TN Martin (8-22),-5.3,24,353,307
308,Campbell (16-13),-5.4,135,341,308
309,Columbia (4-22),-5.4,172,351,309
310,SC Upstate (14-16),-5.4,77,343,310
311,NC-Asheville (16-14),-5.4,41,312,311
312,WI-Milwkee (10-22),-5.4,143,312,312
313,Lamar (2-27),-5.4,240,346,313
314,N Arizona (9-22),-5.5,22,340,314
315,SIU Edward (11-21),-5.5,74,351,315
316,NJIT (11-18),-5.6,138,334,316
317,Loyola-MD (14-16),-5.6,23,337,317
318,St Fran (PA) (9-21),-5.7,145,334,318
319,Longwood (26-6),-5.7,20,329,319
320,Lehigh (13-19),-5.8,56,330,320
321,Denver (11-21),-5.9,319,357,321
322,Lafayette (10-20),-5.9,51,322,322
323,Sacred Hrt (10-20),-5.9,90,326,326
324,Youngs St (18-14),-5.9,21,332,323
325,Army (15-16),-6,233,344,324
326,N Alabama (9-21),-6,34,354,325
327,Nicholls St (21-10),-6.2,82,332,327
328,TN State (14-17),-6.2,243,356,328
329,St Fran (NY) (10-20),-6.2,26,340,329
330,St. Thomas (MN) (10-20),-6.3,291,351,330
331,Hampton (9-19),-6.4,311,358,331
332,North Dakota (6-25),-6.8,222,347,332
333,Grambling St (11-19),-6.9,41,337,333
334,Norfolk St (21-6),-7.1,305,354,334
335,Holy Cross (9-22),-7.1,276,354,335
336,Howard (16-12),-7.2,257,356,336
337,SE Louisiana (18-13),-7.2,106,352,337
338,Florida A&M (13-16),-7.3,57,345,338
339,Beth-Cook (9-21),-7.4,111,346,339
340,Alabama St (9-21),-7.4,31,354,340
341,McNeese St (10-21),-7.5,32,341,341
342,NW State (9-22),-7.5,29,346,342
343,Maine (6-23),-7.5,30,357,344
344,NC Central (15-14),-7.5,2,345,343
345,Charl South (6-25),-7.6,300,357,345
346,E Illinois (4-26),-7.7,19,356,346
347,New Orleans (17-12),-7.7,33,348,347
348,Alab A&M (11-17),-8.1,154,349,348
349,Maryland ES (11-14),-8.1,136,356,349
350,Morgan St (12-13),-8.6,239,354,350
351,Miss Val St (2-26),-8.7,191,358,351
352,TX A&M-CC (20-11),-9.2,331,357,353
353,IUPUI (3-26),-9.2,69,356,352
354,Incar Word (7-24),-9.2,142,355,354
355,S Car State (15-15),-9.2,148,356,355
356,Ark Pine Bl (7-24),-9.5,31,356,356
357,Houston Bap (10-17),-10.3,49,357,357
358,Delaware St (2-25),-11,350,358,358
