Rank,Team,strength,Hi,Low,Last
149,Yale (16-11),-0.5,63,301,149
150,Middle Tenn (22-8),-0.6,150,354,153
151,Drexel (15-13),-0.6,134,350,155
152,Indiana St (11-20),-0.6,89,232,152
153,San Jose St (8-21),-0.6,110,349,154
154,Valparaiso (14-17),-0.7,108,240,150
155,Illinois St (13-19),-0.7,152,306,156
156,Air Force (11-17),-0.8,113,338,157
157,Lg Beach St (17-11),-0.8,95,304,151
158,Elon (10-21),-0.8,21,301,158
159,Utah Val St (19-10),-0.8,44,265,167
160,Marshall (11-19),-0.9,102,314,159
161,Ohio (23-7),-0.9,25,161,160
162,App State (18-13),-0.9,83,216,161
163,TX-Arlington (11-18),-1,7,226,163
164,St Peters (15-11),-1,7,229,162
165,Vermont (25-5),-1.1,22,165,164
166,Kent State (20-9),-1.1,10,208,165
167,Mercer (15-16),-1.1,8,223,166
168,NC-Grnsboro (17-13),-1.2,130,289,170
169,Dartmouth (8-16),-1.3,55,274,171
170,Evansville (6-24),-1.3,44,266,169
171,TX El Paso (17-12),-1.3,168,341,168
172,James Mad (15-14),-1.4,139,329,172
173,Fla Atlantic (17-13),-1.4,133,337,173
174,Grd Canyon (21-7),-1.4,138,325,175
175,Portland (17-13),-1.5,47,335,176
176,Oakland (20-12),-1.5,2,238,178
177,Delaware (19-12),-1.6,53,257,174
178,Sam Hous St (18-13),-1.6,108,330,177
179,Brown (13-15),-1.7,144,340,179
180,Georgia St (15-10),-1.8,91,295,180
181,Canisius (10-20),-1.9,28,260,181
182,VA Military (16-14),-1.9,177,353,182
183,Ste F Austin (21-8),-2,156,348,185
184,Niagara (13-15),-2,1,244,184
185,Detroit (14-15),-2.1,4,230,188
186,Pacific (8-22),-2.1,124,344,186
187,Colgate (21-11),-2.1,41,187,183
188,N Florida (11-20),-2.1,12,293,187
189,UC Riverside (16-10),-2.1,16,199,197
190,Rice (15-14),-2.1,79,272,193
191,W Carolina (11-20),-2.2,110,320,189
192,Morehead St (22-10),-2.2,5,223,191
193,Siena (15-12),-2.2,11,258,192
194,Cornell (14-10),-2.3,177,289,194
195,LA Lafayette (14-14),-2.3,158,345,195
196,Princeton (21-5),-2.3,85,304,196
197,N Illinois (8-21),-2.3,33,335,200
198,Central Mich (7-21),-2.4,54,269,199
199,Akron (20-9),-2.4,9,247,201
200,Bellarmine (18-13),-2.5,1,226,203
201,S Alabama (19-11),-2.5,45,339,190
202,CS Fullerton (17-10),-2.6,95,247,202
